0023_20E3	keycap: #
1F3C3_200D_2640_200D_27A1	woman running: facing right
1F3C3_200D_2642	man running
1F3C3_200D_2642_200D_27A1	man running: facing right
1F3C3_200D_27A1	person running: facing right
1F3C3_1F3FB	person running: light skin tone
1F3C3_1F3FB_200D_2640	woman running: light skin tone
1F3C3_1F3FB_200D_2640_200D_27A1	woman running: light skin tone, facing right
1F3C3_1F3FB_200D_2642	man running: light skin tone
1F3C3_1F3FB_200D_2642_200D_27A1	man running: light skin tone, facing right
1F3C3_1F3FB_200D_27A1	person running: light skin tone, facing right
1F3C3_1F3FC	person running: medium-light skin tone
1F3C3_1F3FC_200D_2640	woman running: medium-light skin tone
1F3C3_1F3FC_200D_2640_200D_27A1	woman running: medium-light skin tone, facing right
1F3C3_1F3FC_200D_2642	man running: medium-light skin tone
1F3C3_1F3FC_200D_2642_200D_27A1	man running: medium-light skin tone, facing right
1F3C3_1F3FC_200D_27A1	person running: medium-light skin tone, facing right
1F3C3_1F3FD	person running: medium skin tone
1F3C3_1F3FD_200D_2640	woman running: medium skin tone
1F3C3_1F3FD_200D_2640_200D_27A1	woman running: medium skin tone, facing right
1F3C3_1F3FD_200D_2642	man running: medium skin tone
1F3C3_1F3FD_200D_2642_200D_27A1	man running: medium skin tone, facing right
1F3C3_1F3FD_200D_27A1	person running: medium skin tone, facing right
1F3C3_1F3FE	person running: medium-dark skin tone
1F3C3_1F3FE_200D_2640	woman running: medium-dark skin tone
1F3C3_1F3FE_200D_2640_200D_27A1	woman running: medium-dark skin tone, facing right
1F3C3_1F3FE_200D_2642	man running: medium-dark skin tone
1F3C3_1F3FE_200D_2642_200D_27A1	man running: medium-dark skin tone, facing right
1F3C3_1F3FE_200D_27A1	person running: medium-dark skin tone, facing right
1F3C3_1F3FF	person running: dark skin tone
1F3C3_1F3FF_200D_2640	woman running: dark skin tone
1F3C3_1F3FF_200D_2640_200D_27A1	woman running: dark skin tone, facing right
1F3C3_1F3FF_200D_2642	man running: dark skin tone
1F3C3_1F3FF_200D_2642_200D_27A1	man running: dark skin tone, facing right
1F3C3_1F3FF_200D_27A1	person running: dark skin tone, facing right
1F3C4_200D_2640	woman surfing
1F3C4_200D_2642	man surfing
1F3C4_1F3FB	person surfing: light skin tone
1F3C4_1F3FB_200D_2640	woman surfing: light skin tone
1F3C4_1F3FB_200D_2642	man surfing: light skin tone
1F3C4_1F3FC	person surfing: medium-light skin tone
1F3C4_1F3FC_200D_2640	woman surfing: medium-light skin tone
1F3C4_1F3FC_200D_2642	man surfing: medium-light skin tone
1F3C4_1F3FD	person surfing: medium skin tone
1F3C4_1F3FD_200D_2640	woman surfing: medium skin tone
1F3C4_1F3FD_200D_2642	man surfing: medium skin tone
1F3C4_1F3FE	person surfing: medium-dark skin tone
1F3C4_1F3FE_200D_2640	woman surfing: medium-dark skin tone
1F3C4_1F3FE_200D_2642	man surfing: medium-dark skin tone
1F3C4_1F3FF	person surfing: dark skin tone
1F3C4_1F3FF_200D_2640	woman surfing: dark skin tone
1F3C4_1F3FF_200D_2642	man surfing: dark skin tone
1F3C7_1F3FB	horse racing: light skin tone
1F3C7_1F3FC	horse racing: medium-light skin tone
1F3C7_1F3FD	horse racing: medium skin tone
1F3C7_1F3FE	horse racing: medium-dark skin tone
1F3C7_1F3FF	horse racing: dark skin tone
1F3CA_200D_2640	woman swimming
1F3CA_200D_2642	man swimming
1F3CA_1F3FB	person swimming: light skin tone
1F3CA_1F3FB_200D_2640	woman swimming: light skin tone
1F3CA_1F3FB_200D_2642	man swimming: light skin tone
1F3CA_1F3FC	person swimming: medium-light skin tone
1F3CA_1F3FC_200D_2640	woman swimming: medium-light skin tone
1F3CA_1F3FC_200D_2642	man swimming: medium-light skin tone
1F3CA_1F3FD	person swimming: medium skin tone
1F3CA_1F3FD_200D_2640	woman swimming: medium skin tone
1F3CA_1F3FD_200D_2642	man swimming: medium skin tone
1F3CA_1F3FE	person swimming: medium-dark skin tone
1F3CA_1F3FE_200D_2640	woman swimming: medium-dark skin tone
1F3CA_1F3FE_200D_2642	man swimming: medium-dark skin tone
1F3CA_1F3FF	person swimming: dark skin tone
1F3CA_1F3FF_200D_2640	woman swimming: dark skin tone
1F3CA_1F3FF_200D_2642	man swimming: dark skin tone
1F3CB_200D_2640	woman lifting weights
1F3CB_200D_2642	man lifting weights
1F3CB_1F3FB	person lifting weights: light skin tone
1F3CB_1F3FB_200D_2640	woman lifting weights: light skin tone
1F3CB_1F3FB_200D_2642	man lifting weights: light skin tone
1F3CB_1F3FC	person lifting weights: medium-light skin tone
1F3CB_1F3FC_200D_2640	woman lifting weights: medium-light skin tone
1F3CB_1F3FC_200D_2642	man lifting weights: medium-light skin tone
1F3CB_1F3FD	person lifting weights: medium skin tone
1F3CB_1F3FD_200D_2640	woman lifting weights: medium skin tone
1F3CB_1F3FD_200D_2642	man lifting weights: medium skin tone
1F3CB_1F3FE	person lifting weights: medium-dark skin tone
1F3CB_1F3FE_200D_2640	woman lifting weights: medium-dark skin tone
1F3CB_1F3FE_200D_2642	man lifting weights: medium-dark skin tone
1F3CB_1F3FF	person lifting weights: dark skin tone
1F3CB_1F3FF_200D_2640	woman lifting weights: dark skin tone
1F3CB_1F3FF_200D_2642	man lifting weights: dark skin tone
1F3CC_200D_2640	woman golfing
1F3CC_200D_2642	man golfing
1F3CC_1F3FB	person golfing: light skin tone
1F3CC_1F3FB_200D_2640	woman golfing: light skin tone
1F3CC_1F3FB_200D_2642	man golfing: light skin tone
1F3CC_1F3FC	person golfing: medium-light skin tone
1F3CC_1F3FC_200D_2640	woman golfing: medium-light skin tone
1F3CC_1F3FC_200D_2642	man golfing: medium-light skin tone
1F3CC_1F3FD	person golfing: medium skin tone
1F3CC_1F3FD_200D_2640	woman golfing: medium skin tone
1F3CC_1F3FD_200D_2642	man golfing: medium skin tone
1F3CC_1F3FE	person golfing: medium-dark skin tone
1F3CC_1F3FE_200D_2640	woman golfing: medium-dark skin tone
1F3CC_1F3FE_200D_2642	man golfing: medium-dark skin tone
1F3CC_1F3FF	person golfing: dark skin tone
1F3CC_1F3FF_200D_2640	woman golfing: dark skin tone
1F3CC_1F3FF_200D_2642	man golfing: dark skin tone
1F3F3_200D_26A7	transgender flag
1F3F3_200D_1F308	rainbow flag
1F3F4_200D_2620	pirate flag
1F3F4_E0067_E0062_E0065_E006E_E0067_E007F	flag: England
1F3F4_E0067_E0062_E0073_E0063_E0074_E007F	flag: Scotland
1F3F4_E0067_E0062_E0077_E006C_E0073_E007F	flag: Wales
1F408_200D_2B1B	black cat
1F415_200D_1F9BA	service dog
1F426_200D_2B1B	black bird
1F426_200D_1F525	phoenix
1F43B_200D_2744	polar bear
1F441_200D_1F5E8	eye in speech bubble
1F442_1F3FB	ear: light skin tone
1F442_1F3FC	ear: medium-light skin tone
1F442_1F3FD	ear: medium skin tone
1F442_1F3FE	ear: medium-dark skin tone
1F442_1F3FF	ear: dark skin tone
1F443_1F3FB	nose: light skin tone
1F443_1F3FC	nose: medium-light skin tone
1F443_1F3FD	nose: medium skin tone
1F443_1F3FE	nose: medium-dark skin tone
1F443_1F3FF	nose: dark skin tone
1F446_1F3FB	backhand index pointing up: light skin tone
1F446_1F3FC	backhand index pointing up: medium-light skin tone
1F446_1F3FD	backhand index pointing up: medium skin tone
1F446_1F3FE	backhand index pointing up: medium-dark skin tone
1F446_1F3FF	backhand index pointing up: dark skin tone
1F447_1F3FB	backhand index pointing down: light skin tone
1F447_1F3FC	backhand index pointing down: medium-light skin tone
1F447_1F3FD	backhand index pointing down: medium skin tone
1F447_1F3FE	backhand index pointing down: medium-dark skin tone
1F447_1F3FF	backhand index pointing down: dark skin tone
1F448_1F3FB	backhand index pointing left: light skin tone
1F448_1F3FC	backhand index pointing left: medium-light skin tone
1F448_1F3FD	backhand index pointing left: medium skin tone
1F448_1F3FE	backhand index pointing left: medium-dark skin tone
1F448_1F3FF	backhand index pointing left: dark skin tone
1F449_1F3FB	backhand index pointing right: light skin tone
1F449_1F3FC	backhand index pointing right: medium-light skin tone
1F449_1F3FD	backhand index pointing right: medium skin tone
1F449_1F3FE	backhand index pointing right: medium-dark skin tone
1F449_1F3FF	backhand index pointing right: dark skin tone
1F44A_1F3FB	oncoming fist: light skin tone
1F44A_1F3FC	oncoming fist: medium-light skin tone
1F44A_1F3FD	oncoming fist: medium skin tone
1F44A_1F3FE	oncoming fist: medium-dark skin tone
1F44A_1F3FF	oncoming fist: dark skin tone
1F44B_1F3FB	waving hand: light skin tone
1F44B_1F3FC	waving hand: medium-light skin tone
1F44B_1F3FD	waving hand: medium skin tone
1F44B_1F3FE	waving hand: medium-dark skin tone
1F44B_1F3FF	waving hand: dark skin tone
1F44C_1F3FB	OK hand: light skin tone
1F44C_1F3FC	OK hand: medium-light skin tone
1F44C_1F3FD	OK hand: medium skin tone
1F44C_1F3FE	OK hand: medium-dark skin tone
1F44C_1F3FF	OK hand: dark skin tone
1F44D_1F3FB	thumbs up: light skin tone
1F44D_1F3FC	thumbs up: medium-light skin tone
1F44D_1F3FD	thumbs up: medium skin tone
1F44D_1F3FE	thumbs up: medium-dark skin tone
1F44D_1F3FF	thumbs up: dark skin tone
1F44E_1F3FB	thumbs down: light skin tone
1F44E_1F3FC	thumbs down: medium-light skin tone
1F44E_1F3FD	thumbs down: medium skin tone
1F44E_1F3FE	thumbs down: medium-dark skin tone
1F44E_1F3FF	thumbs down: dark skin tone
1F44F_1F3FB	clapping hands: light skin tone
1F44F_1F3FC	clapping hands: medium-light skin tone
1F44F_1F3FD	clapping hands: medium skin tone
1F44F_1F3FE	clapping hands: medium-dark skin tone
1F44F_1F3FF	clapping hands: dark skin tone
1F450_1F3FB	open hands: light skin tone
1F450_1F3FC	open hands: medium-light skin tone
1F450_1F3FD	open hands: medium skin tone
1F450_1F3FE	open hands: medium-dark skin tone
1F450_1F3FF	open hands: dark skin tone
1F466_1F3FB	boy: light skin tone
1F466_1F3FC	boy: medium-light skin tone
1F466_1F3FD	boy: medium skin tone
1F466_1F3FE	boy: medium-dark skin tone
1F466_1F3FF	boy: dark skin tone
1F467_1F3FB	girl: light skin tone
1F467_1F3FC	girl: medium-light skin tone
1F467_1F3FD	girl: medium skin tone
1F467_1F3FE	girl: medium-dark skin tone
1F467_1F3FF	girl: dark skin tone
1F468_200D_2695	man health worker
1F468_200D_2696	man judge
1F468_200D_2708	man pilot
1F468_200D_2764_200D_1F468	couple with heart: man, man
1F468_200D_2764_200D_1F48B_200D_1F468	kiss: man, man
1F468_200D_1F33E	man farmer
1F468_200D_1F373	man cook
1F468_200D_1F37C	man feeding baby
1F468_200D_1F393	man student
1F468_200D_1F3A4	man singer
1F468_200D_1F3A8	man artist
1F468_200D_1F3EB	man teacher
1F468_200D_1F3ED	man factory worker
1F468_200D_1F466	family: man, boy
1F468_200D_1F466_200D_1F466	family: man, boy, boy
1F468_200D_1F467	family: man, girl
1F468_200D_1F467_200D_1F466	family: man, girl, boy
1F468_200D_1F467_200D_1F467	family: man, girl, girl
1F468_200D_1F468_200D_1F466	family: man, man, boy
1F468_200D_1F468_200D_1F466_200D_1F466	family: man, man, boy, boy
1F468_200D_1F468_200D_1F467	family: man, man, girl
1F468_200D_1F468_200D_1F467_200D_1F466	family: man, man, girl, boy
1F468_200D_1F468_200D_1F467_200D_1F467	family: man, man, girl, girl
1F468_200D_1F469_200D_1F466	family: man, woman, boy
1F468_200D_1F469_200D_1F466_200D_1F466	family: man, woman, boy, boy
1F468_200D_1F469_200D_1F467	family: man, woman, girl
1F468_200D_1F469_200D_1F467_200D_1F466	family: man, woman, girl, boy
1F468_200D_1F469_200D_1F467_200D_1F467	family: man, woman, girl, girl
1F468_200D_1F4BB	man technologist
1F468_200D_1F4BC	man office worker
1F468_200D_1F527	man mechanic
1F468_200D_1F52C	man scientist
1F468_200D_1F680	man astronaut
1F468_200D_1F692	man firefighter
1F468_200D_1F9AF	man with white cane
1F468_200D_1F9AF_200D_27A1	man with white cane: facing right
1F468_200D_1F9B0	man: red hair
1F468_200D_1F9B1	man: curly hair
1F468_200D_1F9B2	man: bald
1F468_200D_1F9B3	man: white hair
1F468_200D_1F9BC	man in motorized wheelchair
1F468_200D_1F9BC_200D_27A1	man in motorized wheelchair: facing right
1F468_200D_1F9BD	man in manual wheelchair
1F468_200D_1F9BD_200D_27A1	man in manual wheelchair: facing right
1F468_1F3FB	man: light skin tone
1F468_1F3FB_200D_2695	man health worker: light skin tone
1F468_1F3FB_200D_2696	man judge: light skin tone
1F468_1F3FB_200D_2708	man pilot: light skin tone
1F468_1F3FB_200D_2764_200D_1F468_1F3FB	couple with heart: man, man, light skin tone
1F468_1F3FB_200D_2764_200D_1F468_1F3FC	couple with heart: man, man, light skin tone, medium-light skin tone
1F468_1F3FB_200D_2764_200D_1F468_1F3FD	couple with heart: man, man, light skin tone, medium skin tone
1F468_1F3FB_200D_2764_200D_1F468_1F3FE	couple with heart: man, man, light skin tone, medium-dark skin tone
1F468_1F3FB_200D_2764_200D_1F468_1F3FF	couple with heart: man, man, light skin tone, dark skin tone
1F468_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FB	kiss: man, man, light skin tone
1F468_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FC	kiss: man, man, light skin tone, medium-light skin tone
1F468_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FD	kiss: man, man, light skin tone, medium skin tone
1F468_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FE	kiss: man, man, light skin tone, medium-dark skin tone
1F468_1F3FB_200D_2764_200D_1F48B_200D_1F468_1F3FF	kiss: man, man, light skin tone, dark skin tone
